"","TCGA-05-4244-01A","TCGA-05-4249-01A","TCGA-05-4250-01A","TCGA-05-4382-01A","TCGA-05-4384-01A","TCGA-05-4389-01A","TCGA-05-4390-01A","TCGA-05-4395-01A","TCGA-05-4396-01A","TCGA-05-4397-01A","TCGA-05-4398-01A","TCGA-05-4402-01A","TCGA-05-4403-01A","TCGA-05-4405-01A","TCGA-05-4410-01A","TCGA-05-4415-01A","TCGA-05-4417-01A","TCGA-05-4418-01A","TCGA-05-4420-01A","TCGA-05-4422-01A","TCGA-05-4424-01A","TCGA-05-4425-01A","TCGA-05-4426-01A","TCGA-05-4427-01A","TCGA-05-4430-01A","TCGA-05-4432-01A","TCGA-05-4433-01A","TCGA-05-4434-01A","TCGA-05-5420-01A","TCGA-05-5423-01A","TCGA-05-5425-01A","TCGA-05-5428-01A","TCGA-05-5429-01A","TCGA-05-5715-01A","TCGA-35-3615-01A","TCGA-35-4122-01A","TCGA-35-4123-01A","TCGA-35-5375-01A","TCGA-38-4625-01A","TCGA-38-4626-01A","TCGA-38-4627-01A","TCGA-38-4628-01A","TCGA-38-4629-01A","TCGA-38-4630-01A","TCGA-38-4631-01A","TCGA-38-4632-01A","TCGA-38-6178-01A","TCGA-38-7271-01A","TCGA-38-A44F-01A","TCGA-44-2655-01A"
"KEGG_MEDICUS_REFERENCE_ORIGIN_UNWINDING_AND_ELONGATION",0.388663093,-0.55587506,0.578730476,-0.142089972,-0.630538729,0.52353751,0.615287677,0.460387384,-0.358549715,0.693420228,0.361852186,0.076227148,-0.604994395,-0.495485469,-0.198440549,0.54454543,-0.527584131,0.198586524,0.443497263,-0.127623807,0.489959613,0.312247414,0.26017598,0.114499901,-0.349313274,0.177079787,-0.398689834,0.329089673,0.257975286,-0.086816677,0.591209492,0.399850528,0.263997914,0.068084046,-0.556547666,0.497255104,0.347717705,0.60326055,0.670735244,-0.702392984,-0.434464118,0.412049735,0.546734036,0.526305758,0.66433101,0.612943558,-0.370101296,-0.441921189,-0.695661624,-0.533335336
"KEGG_MEDICUS_REFERENCE_HOMOLOGOUS_RECOMBINATION",0.535907921,-0.543508181,0.509676683,-0.140462939,-0.561309162,0.376308149,0.438889891,0.330854163,-0.414306964,0.666329751,0.38269142,0.17121921,-0.6222857,-0.414032463,-0.235356174,0.53956563,-0.673676133,0.020481508,0.362536485,-0.045685702,0.170959467,0.297691285,0.204948396,0.257974775,-0.413779747,-0.229049315,-0.340459927,0.180698816,0.20854626,0.091306273,0.394025702,0.422969973,0.251857123,-0.012752046,-0.400352517,0.363923025,0.453213128,0.484025236,0.554951814,-0.629145945,-0.491766375,0.304930587,0.269962174,0.367316478,0.59230819,0.435739067,-0.265881946,-0.545767436,-0.536084947,-0.400724121
"BIOCARTA_PAR1_PATHWAY",-0.08275458,0.375237664,-0.037379899,0.105276764,0.292493708,-0.254336844,-0.365996865,-0.257592324,0.20982862,-0.403859111,-0.181882718,-0.268209846,0.213238519,0.33738814,0.555645296,0.006359128,0.445800119,-0.482710744,-0.488435208,-0.23977224,0.493309881,-0.288783182,-0.309653273,0.369700297,0.106595867,-0.281751589,0.389909529,-0.356244894,-0.241155607,-0.412110254,-0.070733243,-0.481192962,-0.315612444,-0.15208275,-0.44932467,-0.301054497,-0.376342844,-0.408979952,-0.405912552,0.411224775,0.366706777,-0.36270031,0.096752575,-0.395207726,-0.294107079,-0.171168845,0.278654241,0.651867932,-0.321518248,-0.32100394
"KEGG_PARKINSONS_DISEASE",0.02455605,-0.385058173,-0.073712616,-0.375957524,-0.291072783,0.304566904,0.242773144,0.417571157,-0.167887671,0.506251172,-0.033522828,0.052320388,0.376351859,-0.557415301,-0.39095908,0.333367057,-0.223005874,0.654789161,0.41455521,0.236257568,-0.396372373,-0.107767904,-0.222721289,-0.437283407,0.109224909,0.276462916,-0.378991549,-0.224524865,0.461661791,0.384708312,0.279439594,0.516652565,0.339808384,0.341169113,0.478901619,0.52775266,0.386628638,0.52447905,0.229609214,-0.175787586,0.18522878,0.565688155,0.381264299,0.053002222,0.445670292,0.418648086,-0.394557458,-0.37642651,-0.108262387,0.462762838
"KEGG_MATURITY_ONSET_DIABETES_OF_THE_YOUNG",-0.35283314,0.39135268,0.383759168,0.19090786,-0.2714019,0.243993315,0.298506807,0.039560659,0.477014078,-0.605216775,-0.397565456,-0.405549436,0.529491131,0.078879546,0.293274642,-0.318307664,0.281290189,0.511746233,-0.30072372,0.439282919,-0.506483611,0.592609718,-0.424964348,-0.366193932,0.016305818,0.351110971,0.491844697,-0.315804832,0.669200071,-0.366693892,0.386408111,-0.248873557,0.615618946,0.458687215,-0.15382264,0.346672648,0.010880063,-0.26693321,-0.330652517,-0.289120667,-0.254381744,-0.160316027,-0.224189606,-0.593809147,0.444583861,0.051421675,-0.301994373,0.362083835,0.440033819,-0.271495177
"KEGG_MEDICUS_REFERENCE_MODIFYING_OF_CONDENSIN_I_SUBUNITS",0.106379139,-0.735388396,0.78627829,-0.072633763,-0.899671324,0.380943788,0.75226568,0.693987373,-0.208087448,0.576469242,0.528918163,0.046310196,-0.448614996,-0.659298024,-0.379064849,0.626907683,0.117567446,0.542726621,0.592348642,0.010556708,0.564372628,-0.182505298,-0.521880357,0.360191284,-0.650044945,0.498355425,0.061716142,0.457998737,0.375037272,-0.562786369,0.578110298,0.452472987,0.242433899,-0.318167486,-0.877199314,0.632190156,0.451109812,0.618485224,0.708472435,-0.753496346,-0.585852206,0.219627948,0.750786729,0.741405757,0.696070966,0.641305826,-0.466898059,-0.466702858,-0.72290896,-0.846431472
"BIOCARTA_PROTEASOME_PATHWAY",0.40715202,-0.442888719,0.57163116,-0.216750562,-0.474803946,0.363946632,0.423950331,0.594872561,-0.203287694,0.661790505,0.166967402,0.251313017,-0.03778381,-0.651056334,-0.634514703,0.627744121,-0.326861336,0.634204827,0.602050549,-0.249144235,0.142920457,-0.169516383,-0.397611046,-0.105079094,-0.152728664,0.326560389,-0.545403054,0.185741544,0.514638477,0.503359829,0.545250287,0.508602975,0.503658182,0.249519357,0.32698635,0.609487894,0.415664638,0.673514471,0.568966921,-0.232123966,0.013573217,0.62908531,0.561877586,0.305432801,0.59397448,0.480478044,0.419424774,-0.624856391,-0.590644529,0.684499248
"KEGG_MEDICUS_REFERENCE_LONG_PATCH_BER",0.540446996,-0.422590402,0.542283775,-0.406117225,-0.574205425,0.510712205,0.619860191,0.471256123,-0.275322254,0.632582805,0.294896257,0.051014797,-0.57051909,-0.488675709,-0.267448483,0.581515042,-0.603236236,0.290028909,0.2491713,0.014283406,0.16068058,0.319141693,0.17604361,0.054579252,-0.207606763,0.230340256,-0.386407681,0.186093282,0.216678174,0.095005701,0.559578976,0.301932494,0.371460869,-0.10502847,-0.354312054,0.332235551,0.451081178,0.497449384,0.637821291,-0.656874936,-0.50333201,0.31017378,0.410967165,0.415246331,0.692951401,0.61754656,-0.419281615,-0.550259423,-0.565152546,-0.346592196
"KEGG_MEDICUS_REFERENCE_ELECTRON_TRANSFER_IN_COMPLEX_III",0.374964647,-0.381169454,-0.215016286,-0.575258797,-0.529049102,0.202496124,0.451151994,0.597072479,-0.300162863,0.556089737,0.147395879,-0.065922149,0.459208676,-0.763169331,-0.667806093,0.224050457,-0.37094796,0.731622115,0.561760309,0.602555356,-0.564560827,0.13156078,-0.25728988,-0.569738298,0.078542969,0.157691379,-0.5369941,-0.165590188,0.621585384,0.511075591,0.497794127,0.700133349,0.623689033,0.320768377,0.753116938,0.662475418,0.546392193,0.772689794,0.486184723,-0.329656126,0.128464386,0.741172645,0.567540831,-0.132877016,0.529688704,0.614302196,-0.37411108,-0.585649318,-0.327679286,0.546529249
"BIOCARTA_SKP2E2F_PATHWAY",0.011805943,-0.259882692,0.418730441,-0.132793616,-0.205638286,-0.169219699,0.392566409,0.342932459,0.077934212,0.475626581,0.583372625,-0.245640731,-0.196512104,-0.165810591,-0.033645947,0.53391013,-0.514530089,0.328906594,0.546309728,-0.14401895,0.020841396,-0.321770182,0.448435971,0.35096775,0.261509557,-0.191141745,-0.246218363,0.529759307,0.031413613,0.054325818,0.46042289,0.560050269,0.313411898,-0.104802311,-0.372073531,0.466596222,0.478694382,0.528986277,0.612001277,-0.21072122,0.162717098,0.298183716,0.467928166,0.456574985,0.591985017,0.630628468,-0.583299331,-0.411268514,-0.319759934,-0.307046239
