"Resolution","Num_Modules","Weighted_MAPC","Stability","MAPC_Norm","Stability_Norm","Composite_Score"
0.5,5,0.617414818296042,0.90110980966809,0,0.881753709985889,0.440876854992945
0.6,5,0.617414818296042,0.919039207450174,0,1,0.5
0.7,5,0.617414818296042,0.899916284600672,0,0.873882284912028,0.436941142456014
0.8,5,0.617414818296042,0.880131935286703,0,0.743402391769291,0.371701195884646
0.9,6,0.634986374005437,0.894413069868613,0.268293327208745,0.837587996998621,0.552940662103683
1,7,0.652799949492057,0.88492188120765,0.540281961330317,0.774992595824338,0.657637278577328
1.1,7,0.652799949492057,0.829657227032958,0.540281961330317,0.410516309197461,0.475399135263889
1.2,8,0.660490673749522,0.767411636048616,0.65770867264745,0,0.328854336323725
1.3,9,0.666745169108304,0.78663246543342,0.753206157194139,0.126763419127123,0.439984788160631
1.4,9,0.666745169108304,0.816104337100983,0.753206157194139,0.321133555080251,0.537169856137195
1.5,10,0.674100200707248,0.84657082941551,0.865507306394665,0.522063320247048,0.693785313320857
1.6,10,0.674100200707248,0.839667763536479,0.865507306394665,0.476536864766539,0.671022085580602
1.7,10,0.672396865681594,0.837341744037948,0.83949973888375,0.461196518172374,0.650348128528062
1.8,11,0.678037542876389,0.83962827842123,0.925625069920485,0.476276456221548,0.700950763071016
1.9,11,0.678037542876389,0.864562758832206,0.925625069920485,0.640722013058581,0.783173541489533
2,12,0.682908641389613,0.837905840984044,1,0.464916797676177,0.732458398838089
