"","Module_1","Module_2","Module_3","Module_4","Module_5","Module_6","Module_7","Module_8","Module_9","Module_10","Module_11"
"TCGA-05-4244-01A",-0.85830020946689,-0.156329624296522,-0.026517531772551,-0.443561345309675,-1.32268433623064,-1.29698790390046,-0.684120042698461,-2.13615029462645,-0.103417429744089,0.155441444537725,-0.471132918849139
"TCGA-05-4249-01A",1.97988476300053,1.61124259960163,3.27335719787443,-2.43914976572594,2.56342451868578,-1.90398559236673,3.02722843820392,3.0143316212122,-2.2067044646679,-0.790622093369995,1.768992694802
"TCGA-05-4250-01A",-1.80358820934298,-0.932551066397526,-2.21516075479611,2.06874487193972,-1.64452173673031,0.735109294116627,1.10613919086037,-2.41155812434337,1.40282562933941,2.01885959630245,-1.53226210735933
"TCGA-05-4382-01A",2.10703700439956,2.27864934622746,1.83052492159312,-0.0519705594588417,1.32307906227584,1.84607811445493,3.43333016981569,1.86677489863983,-0.9837679188174,-0.252217260953404,0.813836471383465
"TCGA-05-4384-01A",3.03921581841854,2.66984828379897,3.80009291779725,-3.60416553318709,2.44888923798686,-2.23648271791673,2.60079412909508,3.32595882220637,-2.1394646161069,-2.83885627358711,2.54524423485602
"TCGA-05-4389-01A",-1.17826746717132,-0.988625183764611,-0.992398690444638,0.872409002390798,-1.30897780115923,1.19140973856298,-1.30087526265239,-2.16541755331324,-0.211945234864103,1.47905311427643,-1.15850644927208
"TCGA-05-4390-01A",-1.2602266735189,-0.89289418028727,-2.33333920891236,0.756081507552818,-1.26003849177725,-2.72045361857194,-1.17017703201937,-2.45072178695791,1.61214467340148,2.08939477735948,-1.31496119500001
"TCGA-05-4395-01A",-2.16756463458179,-2.15871873624935,-0.941336613561404,1.21928579521304,-1.08875796098861,0.996647943611951,-2.26448188163638,-1.4457687427869,1.72423813921816,0.392680512865694,-1.33509554906281
"TCGA-05-4396-01A",2.40902602149958,3.25397836052227,0.371159408428157,-3.15476216738522,1.74734203211691,-2.0416480223973,1.94621222545088,2.07852941502698,-0.862327525893476,-2.37192021876742,0.839241558118725
"TCGA-05-4397-01A",-2.0749462459353,2.42216212264768,-2.5924681185036,1.81353331617234,-1.99950463781666,-2.43363898888084,-2.75823435519785,-3.06778059863761,1.9809570659392,1.92789899343383,-1.69840166544951
